Long_name,units,description,CF_Standard_Name,Variable_Name,frequency,dimensions
Daily Minimum Near-Surface Air Temperature,K,"minimum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: min"")",air_temperature,tasmin,day,longitude latitude time height2m
Daily Maximum Near-Surface Air Temperature,K,"maximum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: max"")",air_temperature,tasmax,day,longitude latitude time height2m
Near-Surface Air Temperature,K,"near-surface (usually, 2 meter) air temperature",air_temperature,tas,day,longitude latitude time height2m
Precipitation,kg m-2 s-1,includes both liquid and solid phases,precipitation_flux,pr,day,longitude latitude time
Sea Level Pressure,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,psl,day,longitude latitude time
Near-Surface Wind Speed,m s-1,"near-surface (usually, 10 meters) wind speed.",wind_speed,sfcWind,day,longitude latitude time height10m
Total Soil Moisture Content,kg m-2,the mass per unit area  (summed over all soil layers) of water in all phases.,mass_content_of_water_in_soil,mrso,day,longitude latitude time
Moisture in Upper Portion of Soil Column,kg m-2,The mass of water in all phases in the upper 10cm of the  soil layer.,mass_content_of_water_in_soil_layer,mrsos,day,longitude latitude time sdepth1
Near-Surface Relative Humidity,%,"The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",relative_humidity,hurs,day,longitude latitude time height2m
Daily Minimum Near-Surface Relative Humidity,%,"The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",relative_humidity,hursmin,day,longitude latitude time height2m
Daily Maximum Near-Surface Relative Humidity,%,"The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",relative_humidity,hursmax,day,longitude latitude time height2m
Snow Area Percentage,%,Percentage of each grid cell that is occupied by snow that rests on land portion of cell.,surface_snow_area_fraction,snc,day,longitude latitude time
Total Cloud Cover Percentage,%,"Total cloud area fraction (reported as a percentage) for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Includes both large-scale and convective cloud.",cloud_area_fraction,clt,day,longitude latitude time
Surface Temperature Where Land or Sea Ice,K,Surface temperature of all surfaces except open ocean.,surface_temperature,tslsi,day,longitude latitude time
Surface Snow Amount,kg m-2,The mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as missing where the land fraction is 0; excludes snow on vegetation canopy or on sea ice.,surface_snow_amount,snw,day,longitude latitude time
Convective Precipitation,kg m-2 s-1,Convective precipitation at surface; includes both liquid and solid phases.,convective_precipitation_flux,prc,day,longitude latitude time
Snowfall Flux,kg m-2 s-1,At surface; includes precipitation of all forms of water in the solid phase,snowfall_flux,prsn,day,longitude latitude time
Total Runoff,kg m-2 s-1,The total run-off (including drainage through the base of the soil model) per unit area leaving the land portion of the grid cell.,runoff_flux,mrro,day,longitude latitude time
Eastward Near-Surface Wind,m s-1,"Eastward component of the near-surface (usually, 10 meters)  wind",eastward_wind,uas,day,longitude latitude time height10m
Northward Near-Surface Wind,m s-1,Northward component of the near surface wind,northward_wind,vas,day,longitude latitude time height10m
Daily Maximum Near-Surface Wind Speed,m s-1,"Daily maximum near-surface (usually, 10 meters) wind speed.",wind_speed,sfcWindmax,day,longitude latitude time height10m
Surface Upward Latent Heat Flux,W m-2,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Upward"" indicates a vector component which is positive when directed upward (negative downward). The surface latent heat flux is the exchange of heat between the surface and the air on account of evaporation (including sublimation). In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",surface_upward_latent_heat_flux,hfls,day,longitude latitude time
Surface Upward Sensible Heat Flux,W m-2,"The surface sensible heat flux, also called turbulent heat flux, is the exchange of heat between the surface and the air by motion of air.",surface_upward_sensible_heat_flux,hfss,day,longitude latitude time
Surface Downwelling Longwave Radiation,W m-2,"The surface called ""surface"" means the lower boundary of the atmosphere. ""longwave"" means longwave radiation. Downwelling radiation is radiation from above. It does not mean ""net downward"". When thought of as being incident on a surface, a radiative flux is sometimes called ""irradiance"". In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called ""vector irradiance"". In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",surface_downwelling_longwave_flux_in_air,rlds,day,longitude latitude time
Surface Upwelling Longwave Radiation,W m-2,"The surface called ""surface"" means the lower boundary of the atmosphere. ""longwave"" means longwave radiation. Upwelling radiation is radiation from below. It does not mean ""net upward"". When thought of as being incident on a surface, a radiative flux is sometimes called ""irradiance"". In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called ""vector irradiance"". In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",surface_upwelling_longwave_flux_in_air,rlus,day,longitude latitude time
Surface Downwelling Shortwave Radiation,W m-2,Surface solar irradiance for UV calculations.,surface_downwelling_shortwave_flux_in_air,rsds,day,longitude latitude time
Surface Upwelling Shortwave Radiation,W m-2,"The surface called ""surface"" means the lower boundary of the atmosphere. ""shortwave"" means shortwave radiation. Upwelling radiation is radiation from below. It does not mean ""net upward"". When thought of as being incident on a surface, a radiative flux is sometimes called ""irradiance"". In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called ""vector irradiance"". In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",surface_upwelling_shortwave_flux_in_air,rsus,day,longitude latitude time
TOA Outgoing Longwave Radiation,W m-2,at the top of the atmosphere (to be compared with satellite measurements),toa_outgoing_longwave_flux,rlut,day,longitude latitude time
Air Temperature,K,Air Temperature,air_temperature,ta,day,longitude latitude plev8 time
Relative Humidity,%,"The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",relative_humidity,hur,day,longitude latitude plev8 time
Specific Humidity,1,Specific humidity is the mass fraction of water vapor in (moist) air.,specific_humidity,hus,day,longitude latitude plev8 time
Omega (=dp/dt),Pa s-1,"Omega (vertical velocity in pressure coordinates, positive downwards)",lagrangian_tendency_of_air_pressure,wap,day,longitude latitude plev8 time
Northward Wind,m s-1,Meridional wind (positive in a northward direction).,northward_wind,va,day,longitude latitude plev8 time
Eastward Wind,m s-1,Zonal wind (positive in a eastward direction).,eastward_wind,ua,day,longitude latitude plev8 time
Geopotential Height,m,"Geopotential is the sum of the specific gravitational potential energy relative to the geoid and the specific centripetal potential energy. Geopotential height is the geopotential divided by the standard acceleration due to gravity. It is numerically similar to the altitude (or geometric height) and not to the quantity with standard name height, which is relative to the surface.",geopotential_height,zg,day,longitude latitude plev8 time
Near-Surface Air Temperature,K,"near-surface (usually, 2 meter) air temperature",air_temperature,tas,mon,longitude latitude time height2m
Surface Temperature,K,Temperature of the lower boundary of the atmosphere,surface_temperature,ts,mon,longitude latitude time
Daily Minimum Near-Surface Air Temperature,K,"minimum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: min"")",air_temperature,tasmin,mon,longitude latitude time height2m
Daily Maximum Near-Surface Air Temperature,K,"maximum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: max"")",air_temperature,tasmax,mon,longitude latitude time height2m
Sea Level Pressure,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,psl,mon,longitude latitude time
Surface Air Pressure,Pa,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",surface_air_pressure,ps,mon,longitude latitude time
Eastward Near-Surface Wind,m s-1,"Eastward component of the near-surface (usually, 10 meters)  wind",eastward_wind,uas,mon,longitude latitude time height10m
Northward Near-Surface Wind,m s-1,Northward component of the near surface wind,northward_wind,vas,mon,longitude latitude time height10m
Near-Surface Wind Speed,m s-1,"near-surface (usually, 10 meters) wind speed.",wind_speed,sfcWind,mon,longitude latitude time height10m
Near-Surface Relative Humidity,%,"The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",relative_humidity,hurs,mon,longitude latitude time height2m
Near-Surface Specific Humidity,1,"Near-surface (usually, 2 meter) specific humidity.",specific_humidity,huss,mon,longitude latitude time height2m
Precipitation,kg m-2 s-1,includes both liquid and solid phases,precipitation_flux,pr,mon,longitude latitude time
Snowfall Flux,kg m-2 s-1,At surface; includes precipitation of all forms of water in the solid phase,snowfall_flux,prsn,mon,longitude latitude time
Convective Precipitation,kg m-2 s-1,Convective precipitation at surface; includes both liquid and solid phases.,convective_precipitation_flux,prc,mon,longitude latitude time
Evaporation Including Sublimation and Transpiration,kg m-2 s-1,Evaporation at surface (also known as evapotranspiration): flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation),water_evapotranspiration_flux,evspsbl,mon,longitude latitude time
Surface Snow and Ice Sublimation Flux,kg m-2 s-1,The snow and ice sublimation flux is the loss of snow and ice mass per unit area from the surface resulting from their direct conversion to water vapor that enters the atmosphere.,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,sbl,mon,longitude latitude time
Surface Downward Eastward Wind Stress,Pa,Downward eastward wind stress at the surface,surface_downward_eastward_stress,tauu,mon,longitude latitude time
Surface Downward Northward Wind Stress,Pa,Downward northward wind stress at the surface,surface_downward_northward_stress,tauv,mon,longitude latitude time
Surface Upward Latent Heat Flux,W m-2,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Upward"" indicates a vector component which is positive when directed upward (negative downward). The surface latent heat flux is the exchange of heat between the surface and the air on account of evaporation (including sublimation). In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",surface_upward_latent_heat_flux,hfls,mon,longitude latitude time
Surface Upward Sensible Heat Flux,W m-2,"The surface sensible heat flux, also called turbulent heat flux, is the exchange of heat between the surface and the air by motion of air.",surface_upward_sensible_heat_flux,hfss,mon,longitude latitude time
Surface Downwelling Longwave Radiation,W m-2,"The surface called ""surface"" means the lower boundary of the atmosphere. ""longwave"" means longwave radiation. Downwelling radiation is radiation from above. It does not mean ""net downward"". When thought of as being incident on a surface, a radiative flux is sometimes called ""irradiance"". In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called ""vector irradiance"". In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",surface_downwelling_longwave_flux_in_air,rlds,mon,longitude latitude time
Surface Upwelling Longwave Radiation,W m-2,"The surface called ""surface"" means the lower boundary of the atmosphere. ""longwave"" means longwave radiation. Upwelling radiation is radiation from below. It does not mean ""net upward"". When thought of as being incident on a surface, a radiative flux is sometimes called ""irradiance"". In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called ""vector irradiance"". In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",surface_upwelling_longwave_flux_in_air,rlus,mon,longitude latitude time
Surface Downwelling Shortwave Radiation,W m-2,Surface solar irradiance for UV calculations.,surface_downwelling_shortwave_flux_in_air,rsds,mon,longitude latitude time
Surface Upwelling Shortwave Radiation,W m-2,"The surface called ""surface"" means the lower boundary of the atmosphere. ""shortwave"" means shortwave radiation. Upwelling radiation is radiation from below. It does not mean ""net upward"". When thought of as being incident on a surface, a radiative flux is sometimes called ""irradiance"". In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called ""vector irradiance"". In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",surface_upwelling_shortwave_flux_in_air,rsus,mon,longitude latitude time
Surface Downwelling Clear-Sky Shortwave Radiation,W m-2,Surface solar irradiance clear sky for UV calculations,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,rsdscs,mon,longitude latitude time
Surface Upwelling Clear-Sky Shortwave Radiation,W m-2,Surface Upwelling Clear-sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,rsuscs,mon,longitude latitude time
Surface Downwelling Clear-Sky Longwave Radiation,W m-2,Surface downwelling clear-sky longwave radiation,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,rldscs,mon,longitude latitude time
TOA Incident Shortwave Radiation,W m-2,Shortwave radiation incident at the top of the atmosphere,toa_incoming_shortwave_flux,rsdt,mon,longitude latitude time
TOA Outgoing Shortwave Radiation,W m-2,at the top of the atmosphere,toa_outgoing_shortwave_flux,rsut,mon,longitude latitude time
TOA Outgoing Longwave Radiation,W m-2,at the top of the atmosphere (to be compared with satellite measurements),toa_outgoing_longwave_flux,rlut,mon,longitude latitude time
TOA Outgoing Clear-Sky Longwave Radiation,W m-2,Upwelling clear-sky longwave radiation at top of atmosphere,toa_outgoing_longwave_flux_assuming_clear_sky,rlutcs,mon,longitude latitude time
TOA Outgoing Clear-Sky Shortwave Radiation,W m-2,Calculated in the absence of clouds.,toa_outgoing_shortwave_flux_assuming_clear_sky,rsutcs,mon,longitude latitude time
Water Vapor Path,kg m-2,vertically integrated through the atmospheric column,atmosphere_mass_content_of_water_vapor,prw,mon,longitude latitude time
Total Cloud Cover Percentage,%,"Total cloud area fraction (reported as a percentage) for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Includes both large-scale and convective cloud.",cloud_area_fraction,clt,mon,longitude latitude time
Condensed Water Path,kg m-2,Mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,atmosphere_mass_content_of_cloud_condensed_water,clwvi,mon,longitude latitude time
Ice Water Path,kg m-2,mass of ice water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating frozen hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.,atmosphere_mass_content_of_cloud_ice,clivi,mon,longitude latitude time
Net Downward Radiative Flux at Top of Model,W m-2,"Net Downward Radiative Flux at Top of Model : I.e., at the top of that portion of the atmosphere where dynamics are explicitly treated by the model. This is reported only if it differs from the net downward radiative flux at the top of the atmosphere.",net_downward_radiative_flux_at_top_of_atmosphere_model,rtmt,mon,longitude latitude time
Air Pressure at Convective Cloud Base,Pa,"Where convective cloud is present in the grid cell, the instantaneous cloud base altitude should be that of the bottom of the lowest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.",air_pressure_at_convective_cloud_base,ccb,mon,longitude latitude time
Air Pressure at Convective Cloud Top,Pa,"Where convective cloud is present in the grid cell, the instantaneous cloud top altitude should be that of the top of the highest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.",air_pressure_at_convective_cloud_top,cct,mon,longitude latitude time
Fraction of Time Convection Occurs in Cell,1,Fraction of time that convection occurs in the grid cell.,convection_time_fraction,ci,mon,longitude latitude time
Fraction of Time Shallow Convection Occurs,1,Fraction of time that shallow convection occurs in the grid cell.,shallow_convection_time_fraction,sci,mon,longitude latitude time
Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2 [kgC m-2 s-1],kg m-2 s-1,"This is requested only for the emission-driven coupled carbon climate model runs.  Does not include natural fire sources but, includes all anthropogenic sources, including fossil fuel use, cement production, agricultural burning, and sources associated with anthropogenic land use change excluding forest regrowth.",tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_emission,fco2antt,mon,longitude latitude time
Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2 [kgC m-2 s-1],kg m-2 s-1,"This is the prescribed anthropogenic CO2 flux from fossil fuel use, including cement production, and flaring (but not from land-use changes, agricultural burning, forest regrowth, etc.)",tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fossil_fuel_combustion,fco2fos,mon,longitude latitude time
Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources [kgC m-2 s-1],kg m-2 s-1,This is what the atmosphere sees (on its own grid).  This field should be equivalent to the combined natural fluxes of carbon  that account for natural exchanges between the atmosphere and land (nep) or ocean (fgco2) reservoirs.,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_natural_sources,fco2nat,mon,longitude latitude time
Percentage Cloud Cover,%,"Percentage cloud cover, including both large-scale and convective cloud.",cloud_area_fraction_in_atmosphere_layer,cl,mon,longitude latitude alevel time
Mass Fraction of Cloud Liquid Water,kg kg-1,Includes both large-scale and convective cloud. Calculate as the mass of cloud liquid water in the grid cell divided by the mass of air (including the water in all phases) in the grid cells. Precipitating hydrometeors are included ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,mass_fraction_of_cloud_liquid_water_in_air,clw,mon,longitude latitude alevel time
Mass Fraction of Cloud Ice,kg kg-1,Includes both large-scale and convective cloud. This is calculated as the mass of cloud ice in the grid cell divided by the mass of air (including the water in all phases) in the grid cell. It includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,mass_fraction_of_cloud_ice_in_air,cli,mon,longitude latitude alevel time
Convective Mass Flux,kg m-2 s-1,The net mass flux should represent the difference between the updraft and downdraft components.  The flux is computed as the mass divided by the area of the grid cell.,atmosphere_net_upward_convective_mass_flux,mc,mon,longitude latitude alevhalf time
Air Temperature,K,Air Temperature,air_temperature,ta,mon,longitude latitude plev19 time
Eastward Wind,m s-1,Zonal wind (positive in a eastward direction).,eastward_wind,ua,mon,longitude latitude plev19 time
Northward Wind,m s-1,Meridional wind (positive in a northward direction).,northward_wind,va,mon,longitude latitude plev19 time
Specific Humidity,1,Specific humidity is the mass fraction of water vapor in (moist) air.,specific_humidity,hus,mon,longitude latitude plev19 time
Relative Humidity,%,"The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",relative_humidity,hur,mon,longitude latitude plev19 time
Omega (=dp/dt),Pa s-1,"Omega (vertical velocity in pressure coordinates, positive downwards)",lagrangian_tendency_of_air_pressure,wap,mon,longitude latitude plev19 time
Geopotential Height,m,"Geopotential is the sum of the specific gravitational potential energy relative to the geoid and the specific centripetal potential energy. Geopotential height is the geopotential divided by the standard acceleration due to gravity. It is numerically similar to the altitude (or geometric height) and not to the quantity with standard name height, which is relative to the surface.",geopotential_height,zg,mon,longitude latitude plev19 time
Mole Fraction of O3,mol mol-1,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",mole_fraction_of_ozone_in_air,o3,mon,longitude latitude plev19 time
Mole Fraction of O3,mol mol-1,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",mole_fraction_of_ozone_in_air,o3,monC,longitude latitude plev19 time2
Mole Fraction of CO2,mol mol-1,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",mole_fraction_of_carbon_dioxide_in_air,co2,mon,longitude latitude plev19 time
Mole Fraction of CO2,mol mol-1,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",mole_fraction_of_carbon_dioxide_in_air,co2,monC,longitude latitude plev19 time2
Total Atmospheric Mass of CO2,kg,Total atmospheric mass of Carbon Dioxide,atmosphere_mass_of_carbon_dioxide,co2mass,mon, time
Total Atmospheric Mass of CO2,kg,Total atmospheric mass of Carbon Dioxide,atmosphere_mass_of_carbon_dioxide,co2mass,monC, time2
Mole Fraction of CH4,mol mol-1,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",mole_fraction_of_methane_in_air,ch4,mon,longitude latitude plev19 time
Mole Fraction of CH4,mol mol-1,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",mole_fraction_of_methane_in_air,ch4,monC,longitude latitude plev19 time2
Global Mean Mole Fraction of CH4,1e-09,Global Mean Mole Fraction of CH4,mole_fraction_of_methane_in_air,ch4global,mon, time
Global Mean Mole Fraction of CH4,1e-09,Global Mean Mole Fraction of CH4,mole_fraction_of_methane_in_air,ch4global,monC, time2
Mole Fraction of N2O,mol mol-1,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.   The chemical formula of  nitrous oxide is N2O.",mole_fraction_of_nitrous_oxide_in_air,n2o,mon,longitude latitude plev19 time
Mole Fraction of N2O,mol mol-1,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.   The chemical formula of  nitrous oxide is N2O.",mole_fraction_of_nitrous_oxide_in_air,n2o,monC,longitude latitude plev19 time2
Global Mean Mole Fraction of N2O,1e-09,Global mean Nitrous Oxide (N2O),mole_fraction_of_nitrous_oxide_in_air,n2oglobal,mon, time
Global Mean Mole Fraction of N2O,1e-09,Global mean Nitrous Oxide (N2O),mole_fraction_of_nitrous_oxide_in_air,n2oglobal,monC, time2
Global Mean Mole Fraction of CFC11,1e-12,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of CFC11 is CFCl3.  The IUPAC name for CFC11 is trichloro-fluoro-methane.",mole_fraction_of_cfc11_in_air,cfc11global,mon, time
Global Mean Mole Fraction of CFC12,1e-12,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of CFC12 is CF2Cl2.  The IUPAC name for CFC12 is dichloro-difluoro-methane.",mole_fraction_of_cfc12_in_air,cfc12global,mon, time
Global Mean Mole Fraction of HCFC22,1e-12,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for HCFC22 is CHClF2.  The IUPAC name for HCFC22 is chloro-difluoro-methane.",mole_fraction_of_hcfc22_in_air,hcfc22global,mon, time
Global Mean Mole Fraction of CFC113,1e-12,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of CFC113 is CCl2FCClF2.  The IUPAC name for CFC113 is 1,1,2-trichloro-1,2,2-trifluoro-ethane.",mole_fraction_of_cfc113_in_air,cfc113global,mon, time
Pressure at Model Full-Levels,Pa,Air pressure on model levels,air_pressure,pfull,monC,longitude latitude alevel time2
Pressure on Model Half-Levels,Pa,Air pressure on model half-levels,air_pressure,phalf,monC,longitude latitude alevhalf time2
Sea Water Mass,kg,"Total mass of liquid sea water. For Boussinesq models, report this diagnostic as Boussinesq reference density times total volume.",sea_water_mass,masso,mon, time
Mole Concentration of SF6 in Sea Water,mol m-3,"Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". The chemical formula of sulfur hexafluoride is SF6.",mole_concentration_of_sulfur_hexafluoride_in_sea_water,sf6,mon,longitude latitude olevel time
Mole Concentration of CFC11 in Sea Water,mol m-3,"Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". The chemical formula of CFC11 is CFCl3. The IUPAC name for CFC11 is trichloro-fluoro-methane.",mole_concentration_of_cfc11_in_sea_water,cfc11,mon,longitude latitude olevel time
Sea Water Pressure at Sea Floor,Pa,"""Sea water pressure"" is the pressure that exists in the medium of sea water.  It includes the pressure due to overlying sea water, sea ice, air and any other medium that may be present.",sea_water_pressure_at_sea_floor,pbo,mon,longitude latitude time
Mole Concentration of CFC12 in Sea Water,mol m-3,"Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". The chemical formula for CFC12 is CF2Cl2. The IUPAC name for CFC12 is dichloro-difluoro-methane.",mole_concentration_of_cfc12_in_sea_water,cfc12,mon,longitude latitude olevel time
Surface Dissolved Inorganic Carbon Concentration,mol m-3,Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,dissicos,mon,longitude latitude time
Sea Water Pressure at Sea Water Surface,Pa,"The surface called ""surface"" means the lower boundary of the atmosphere.  ""Sea water pressure"" is the pressure that exists in the medium of sea water.  It includes the pressure due to overlying sea water, sea ice, air and any other medium that may be present.",sea_water_pressure_at_sea_water_surface,pso,mon,longitude latitude time
Surface Natural Dissolved Inorganic Carbon Concentration,mol m-3,Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration at preindustrial atmospheric xCO2,mole_concentration_of_dissolved_inorganic_carbon_natural_analogue_in_sea_water,dissicnatos,mon,longitude latitude time
Surface Downward SF6 Flux,mol m-2 s-1,gas exchange flux of SF6,surface_downward_mole_flux_of_sulfur_hexafluoride,fgsf6,mon,longitude latitude time
Sea Water Volume,m3,Total volume of liquid sea water.,sea_water_volume,volo,mon, time
Surface Abiotic Dissolved Inorganic Carbon Concentration,mol m-3,Abiotic Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration,mole_concentration_of_dissolved_inorganic_carbon_abiotic_analogue_in_sea_water,dissicabioos,mon,longitude latitude time
Surface Downward CFC11 Flux,mol m-2 s-1,gas exchange flux of CFC11,surface_downward_mole_flux_of_cfc11,fgcfc11,mon,longitude latitude time
Sea Surface Height Above Geoid,m,"This is the dynamic sea level, so should have zero global area mean. It should not include inverse barometer depressions from sea ice.",sea_surface_height_above_geoid,zos,mon,longitude latitude time
